"Item","Description","Qty","Value","Sold Value"
"ETOILE","PRODUCTION","50","0,00D A","0,00D A"
"EMARACHE 2","PRODUCTION","400","72 000,00D A","72 000,00D A"
"ECUSSON","CHINE","30","0,00D A","0,00D A"
"EA7 17","PRODUCTION","100","0,00D A","0,00D A"
"EA7  PM","PRODUCTION","100","0,00D A","0,00D A"
"EA 7 20","PRODUCTION","100","0,00D A","0,00D A"
"DJOUMANA","COMMANDE","55 000","66 000,00D A","66 000,00D A"
"Discount","Discount","1","-3 000,00D A","-3 000,00D A"
"DEGOU","COMMANDE","6 000","4 800,00D A","4 800,00D A"
"DANTAIN","CHINE","9","0,00D A","0,00D A"
"CY","INK DTF","6","0,00D A","0,00D A"
"CLUB FOOT 04/4P","FEUILLE Transfer","518","0,00D A","0,00D A"
"CLUB FOOT 03/6P","FEUILLE Transfer","777","0,00D A","0,00D A"
"CLUB FOOT 03/4P","FEUILLE Transfer","524","0,00D A","0,00D A"
"CLUB FOOT 02/6P","FEUILLE Transfer","722","0,00D A","0,00D A"
"CLUB FOOT 02/4P","FEUILLE Transfer","448","0,00D A","0,00D A"
"CLUB FOOT 01/6P","FEUILLE Transfer","693","0,00D A","0,00D A"
"CLUB FOOT 01/4P","FEUILLE Transfer","595","892 500,00D A","892 500,00D A"
"CAPPA 96","PRODUCTION","493","0,00D A","0,00D A"
"CAPA","PRODUCTION","173","0,00D A","0,00D A"
"CALIFORNIA 24","PRODUCTION","300","0,00D A","0,00D A"
"C 14 ARGENT","PRESSION","25","36 250,00D A","36 250,00D A"
"C 14  F.PLASTIC","PRESSION","125","181 250,00D A","181 250,00D A"
"C 14","MOULE","40","32 000,00D A","32 000,00D A"
"BVB","STOCK RAHIM","81","16 200,00D A","16 200,00D A"
"BOSS 84","PRODUCTION","100","12 500,00D A","12 500,00D A"
"BOSS 6","PRODUCTION","125","15 625,00D A","15 625,00D A"
"BOSS 42","PRODUCTION","100","0,00D A","0,00D A"
"BOSS 10","PRODUCTION","100","12 500,00D A","12 500,00D A"
"BOOS 84","PRODUCTION","100","0,00D A","0,00D A"
"BMS ELECTRIC","PRODUCTION","522","104 600,00D A","104 600,00D A"
"BLANC 3","JOURNAL POLYAMIDE","370","84 000,00D A","84 000,00D A"
"BLANC","JOURNAL SATIN","195","97 500,00D A","97 500,00D A"
"BK","INK DTF","6","0,00D A","0,00D A"
"BEYERN","STOCK RAHIM","245","49 000,00D A","49 000,00D A"
